Modelo_ID,AB2,Resistividad_Aparente
S2-LP-L-NL,95.0,861.3959747861593
S2-LP-L-NL,100.0,645.8816260735408
S2-LP-L-NL,110.0,846.1103172779842
S2-LP-L-NL,120.0,888.2627890172303
S1-EGH-OLV,1.0,52.75081439063447
S1-EGH-OLV,2.0,55.66939388087867
S1-EGH-OLV,5.0,73.24670078225157
S1-EGH-OLV,10.0,93.7056171821142
S1-EGH-OLV,15.0,138.97447473455614
S1-EGH-OLV,20.0,124.14338992474534
S1-EGH-OLV,25.0,151.5154145711423
S1-EGH-OLV,30.0,167.36773307404496
S1-EGH-OLV,35.0,184.5725001456376
S1-EGH-OLV,40.0,139.71805506741865
S1-EGH-OLV,50.0,170.20144009103353
S1-EGH-OLV,60.0,137.48417103188467
S1-EGH-OLV,70.0,125.14525470906119
S1-EGH-OLV,80.0,137.01223652924523
S1-EGH-OLV,90.0,135.12050332026388
S1-EGH-OLV,100.0,94.88014262484609
S1-EGH-OLV,110.0,100.96338831033825
S1-EGH-OLV,120.0,109.99187000544221
S1-EGH-OLV,130.0,111.00746188953573
S1-EGH-OLV,150.0,87.93381859259034
S1-EGH-OLV,160.0,86.05060050200618
S1-EGH-OLV,170.0,97.03216133016012
S1-EGH-OLV,180.0,85.16176857078142
S1-EGH-OLV,190.0,93.0412995822295
S1-EGH-OLV,200.0,107.19095983431546
S1-EGH-OLV,210.0,97.30624312086907
S1-EGH-OLV,220.0,97.67474303788222
S1-EGH-OLV,230.0,72.66254569463746
S1-EGH-OLV,240.0,93.77253645766342
S1-EGH-OLV,250.0,97.28564520242419
S2-EGH-OLV,1.0,15.92600736265455
S2-EGH-OLV,10.0,17.650151801515264
S2-EGH-OLV,15.0,20.080737387236848
S2-EGH-OLV,20.0,19.714091072866342
S2-EGH-OLV,25.0,26.817196566715438
S2-EGH-OLV,30.0,23.976140825485345
S2-EGH-OLV,35.0,30.593559214756418
S2-EGH-OLV,40.0,36.18858661892448
S2-EGH-OLV,45.0,43.32290283895023
S2-EGH-OLV,50.0,35.86798282776232
S2-EGH-OLV,55.0,49.42377639771049
S2-EGH-OLV,60.0,45.516031326363105
S2-EGH-OLV,65.0,47.0741414747991
S2-EGH-OLV,70.0,58.042536675770016
S2-EGH-OLV,75.0,63.75696402830285
S2-EGH-OLV,80.0,49.296510669735355
S2-EGH-OLV,85.0,57.13300429137797
S2-EGH-OLV,90.0,67.11930537098293
S2-EGH-OLV,100.0,75.39869913137349
S2-EGH-OLV,130.0,75.79627001110673
S2-EGH-OLV,150.0,83.6341559789066
S2-EGH-OLV,180.0,108.81766430265564
S2-EGH-OLV,230.0,114.1882139001212
S2-EGH-OLV,260.0,135.86852992421043
S2-EGH-OLV,280.0,164.47217355130917
S2-EGH-OLV,300.0,155.9811747680027
S2-EGH-OLV,310.0,159.6069858563494
S2-EGH-OLV,330.0,123.12456834271565
S2-EGH-OLV,360.0,166.90449380545516
S2-EGH-OLV,400.0,183.34659321742447
S3-EGH-OLV,1.0,702.5331209283679
S3-EGH-OLV,10.0,715.1818646362243
S3-EGH-OLV,20.0,715.3219346029423
S3-EGH-OLV,30.0,597.9340095117977
S3-EGH-OLV,40.0,681.2593690906148
S3-EGH-OLV,50.0,505.1658028052226
S3-EGH-OLV,60.0,531.1912743169197
S3-EGH-OLV,70.0,515.8525126538349
S3-EGH-OLV,80.0,506.3625245132152
S3-EGH-OLV,90.0,344.1417097321105
S3-EGH-OLV,100.0,390.57853045128553
S3-EGH-OLV,110.0,297.8448753000201
S3-EGH-OLV,120.0,256.867533608741
S3-EGH-OLV,130.0,266.33650031135255
S3-EGH-OLV,140.0,248.37124513062545
S3-EGH-OLV,150.0,164.72175530335653
S3-EGH-OLV,160.0,165.5236751565262
S3-EGH-OLV,170.0,170.45628495892356
S3-EGH-OLV,180.0,162.952743645723
S3-EGH-OLV,190.0,124.35790494916868
S3-EGH-OLV,200.0,115.57627630044765
